First,Second
Chrom,Sully
Chrom,Sumia
Chrom,Maribelle
Chrom,Olivia
Chrom,FeMU
Lissa,Frederick
Lissa,Virion
Lissa,Stahl
Lissa,Vaike
Lissa,Kellam
Lissa,Lonqu
Lissa,Ricken
Lissa,Gaius
Lissa,Gregor
Lissa,Libra
Lissa,Henry
Olivia,Frederick
Olivia,Virion
Olivia,Stahl
Olivia,Vaike
Olivia,Kellam
Olivia,Lonqu
Olivia,Ricken
Olivia,Gaius
Olivia,Gregor
Olivia,Libra
Olivia,Henry
Maribelle,Frederick
Maribelle,Virion
Maribelle,Stahl
Maribelle,Vaike
Maribelle,Kellam
Maribelle,Lonqu
Maribelle,Ricken
Maribelle,Gaius
Maribelle,Gregor
Maribelle,Libra
Maribelle,Henry
Sully,Frederick
Sully,Virion
Sully,Stahl
Sully,Vaike
Sully,Kellam
Sully,Lonqu
Sully,Ricken
Sully,Gaius
Sully,Gregor
Sully,Libra
Sully,Henry
Sumia,Frederick
Sumia,Chrom
Sumia,Gaius
Sumia,Henry
Cordelia,Frederick
Cordelia,Virion
Cordelia,Stahl
Cordelia,Vaike
Cordelia,Kellam
Cordelia,Lonqu
Cordelia,Ricken
Cordelia,Gaius
Cordelia,Gregor
Cordelia,Libra
Cordelia,Henry
Panne,Frederick
Panne,Virion
Panne,Stahl
Panne,Vaike
Panne,Kellam
Panne,Lonqu
Panne,Ricken
Panne,Gaius
Panne,Gregor
Panne,Libra
Panne,Henry
Miriel,Frederick
Miriel,Virion
Miriel,Stahl
Miriel,Vaike
Miriel,Kellam
Miriel,Lonqu
Miriel,Ricken
Miriel,Gaius
Miriel,Gregor
Miriel,Libra
Miriel,Henry
Tharja,Frederick
Tharja,Virion
Tharja,Stahl
Tharja,Vaike
Tharja,Kellam
Tharja,Lonqu
Tharja,Ricken
Tharja,Gaius
Tharja,Gregor
Tharja,Libra
Tharja,Henry
Nowi,Frederick
Nowi,Virion
Nowi,Stahl
Nowi,Vaike
Nowi,Kellam
Nowi,Lonqu
Nowi,Ricken
Nowi,Gaius
Nowi,Gregor
Nowi,Libra
Nowi,Henry
MU,Lissa
MU,Sully
MU,Miriel
MU,Sumia
MU,Maribelle
MU,Panne
MU,Cordelia
MU,Nowi
MU,Tharja
MU,Olivia
MU,Cherche
FeMU,Frederick
FeMU,Virion
FeMU,Stahl
FeMU,Vaike
FeMU,Kellam
FeMU,Lon'qu
FeMU,Ricken
FeMU,Gaius
FeMU,Gregor
FeMU,Libra
FeMU,Henry
