Skill,Class,Level,Activation,Effect
Acrobat,Trickster,15,-,All traversable terrain costs 1 movement point to cross
Aegis,Paladin,15,Skill%,"Halves damage from bows, tomes, and Dragonstones[1]"
Aether,Great Lord,5,Skill/2%,"Attack twice consecutively, with the first strike having a Sol effect and the second strike having a Luna effect"
Anathema,Dark Mage,10,-,Avoid and Critical Avoid 10 to all enemies within a 3 tile radius.
Aptitude,Villager,1,-,Adds 20% to all growth rates
Armsthrift,Mercenary,1,Luck*2%,Weapon durability is not decreased when activated
Astra,Swordmaster,5,Skill/2%,Deals 5 consecutive hits at half damage.
Avoid +10,Myrmidon,1,-,Avoid +10
Axebreaker,Hero,15,-,Hit rate and Avoid +50 when enemy is equipped with an axe
Axefaire,Berserker,15,-,Strength +5 when equipped with an axe. Magic +5 when equipped with a Bolt Axe
Beastbane,Taguel,15,-,Deals effective damage to beast units when the user is a Taguel
Bowbreaker,Bow Knight,15,-,Hit rate and Avoid +50 when the enemy is equipped with a bow.
Bowfaire,Sniper,15,-,Strength +5 when equipped with a bow.
Charm,Lord,10,-,Hit rate and Avoid +5 to all allies within a 3 tile radius
Counter,Warrior,15,-,Returns damage when attacked by an adjacent enemy (does not return damage when user is KO'd)[1]
Defender,Paladin,5,-,All Stats (except movement) +1 when in a pair up
Defense +2,Knight,1,-,Defense +2
Deliverer,Griffon Rider,5,-,Movement +2 when in a Pair Up
Demoiselle,Troubadour,10,-,Avoid and Critical Avoid +10 to all male allies within a 3 tile radius
Despoil,Barbarian,1,Luck%,Obtain a Bullion (S) from the enemy if the user defeats the enemy
Discipline,Cavalier,1,-,Weapon Experience x2
Dual Guard+,Great Knight,15,-,Adds 10% to Dual Guard rate
Dual Strike+,Lord,1,-,Adds 10% to Dual Strike activation
Dual Support+,Valkyrie,15,-,Increases the Dual Support level of a unit by 4
Even Rhythm,Taguel,1,-,Hit rate and Avoid +10 during even numbered Turns
Focus,Mage,10,-,Critical +10 when no allies are within a 3 tile radius
Galeforce,Dark Flier,15,-,Allows the user another full action after they defeat an enemy during the user's Turn. Activates only once per Turn.
Gamble,Barbarian,10,-,"Hit rate 5, Critical +10"
Healtouch,Cleric,10,-,Restores an extra 5 HP when healing allies
Healtouch,Priest,10,-,Restores an extra 5 HP when healing allies
Hex,Dark Mage,1,-,Avoid 15 to all adjacent enemies
Hit Rate +20,Sniper,5,-,Hit Rate +20
HP +5,Fighter,1,-,Maximum HP +5
Ignis,Grandmaster,5,Skill%,Adds (Magic)/2 to Strength when dealing physical damage and (Strength)/2 to Magic when dealing magical damage
Indoor Fighter,Knight,10,-,Hit rate and Avoid +10 when fighting indoors
